original_index_1,original_index_2,title1,title2,ratio,token_sort,token_set,final_score,year1,year2,doi1,doi2,source1,source2
80444,140613,Quality of life following restorative proctocolectomy for ulcerative colitis and familial adenomatous polyposis,Quality of life following restorative proctocolectomy for ulcerative colitis and familial adenomatous polyposis,100.0,100.0,100.0,100.0,2010.0,2010.0,,10.4038/cmj.v55i3.2296,repositories_combined,sljol; repositories_combined
175264,179370,PREVALENCE OF GASTROINTESTINAL PARASITES IN CATTLE IN BADULLA DISTRICT (With special reference to Cryptosporidium spp),Prevalence of Gastrointestinal Parasites in Cattle in Badulla District(With special Reference to Cryptosporidium spp),100.0,100.0,100.0,100.0,2010.0,2010.0,,,repositories_combined,repositories_combined
78715,81493,Identifying Competency Required for Independent Practice in Histopathology,Identifying Competency Required for Independent Practice in Histopathology,100.0,100.0,100.0,100.0,2010.0,2010.0,,10.5001/omj.2010.1,repositories_combined,repositories_combined
152696,102966,Environmental Conservation Efforts in Developing Textile Waste Incorporated Cement Blocks,Environmental conservation efforts in developing textile waste incorporated cement blocks,100.0,100.0,100.0,100.0,2010.0,2010.0,10.4038/tar.v21i2.2594,,sljol; repositories_combined,repositories_combined
79633,148999,A survey on antiemetics prescribed for children in some selected districts of Sri Lanka,A survey on antiemetics prescribed for children in some selected districts of Sri Lanka,100.0,100.0,100.0,100.0,2010.0,2010.0,,10.4038/sljch.v39i3.2271,repositories_combined,sljol; repositories_combined
149845,110154,A study of Tribulus terrestris extract on risk factors for urinary stone in normal subjects and urolithic patients,A study of Tribulus terrestris extract on risk factors for urinary stone in normal subjects and urolithic patients,100.0,100.0,100.0,100.0,2010.0,2010.0,10.4038/jnsfsr.v38i3.2308,,sljol; repositories_combined,repositories_combined
151214,154462,Snippets from the world wide web,Snippets from the world wide web,100.0,100.0,100.0,100.0,2009.0,2009.0,10.4038/sljch.v32i2.729,10.4038/sljch.v33i3.644,sljol; repositories_combined,sljol; repositories_combined
81411,76107,Classification of Rice Grains Using Neural Networks,Classification of Rice Grains Using Neural Networks,100.0,100.0,100.0,100.0,2013.0,2013.0,,,repositories_combined,repositories_combined
116155,151410,The management of “unknown” or “unidentified” deceased alleged to be involved in road traffic accidents; are we helping adequately to provide justice to them?,"The management of ""unknown"" or ""unidentified"" deceased alleged to be involved in road traffic accidents; are we helping adequately to provide justice to them?",100.0,100.0,100.0,100.0,2012.0,2012.0,,10.4038/sljfmsl.v3i1.4944,repositories_combined,sljol; repositories_combined
81790,78180,SELF EXAMINATION OF BREAST - A STUDY ON MASTECTOMY PATIENTS,Self examination of breast - A study on mastectomy patients,100.0,100.0,100.0,100.0,2012.0,2012.0,,,repositories_combined,repositories_combined
155406,103782,Exploring Capacity of Construction Industry Post Disaster Housing Reconstruction,Exploring Capacity of Construction Industry Post Disaster Housing Reconstruction,100.0,100.0,100.0,100.0,2012.0,2012.0,10.4038/besl.v11i1.4582,,sljol; repositories_combined,repositories_combined
154500,96717,Competitive Performance of Purple Nutsedge (Cyperus rotundus L.) and Onion (Allium cepa L.) as Affected by Different Sources of Nitrogen,Competitive performance of purple nutsedge (Cyperus rotundus L.) and onion (Allium cepa L.) as affected by different sources of Nitrogen,100.0,100.0,100.0,100.0,2012.0,2012.0,10.4038/tar.v23i4.4864,,sljol; repositories_combined,repositories_combined
82076,77742,Scope For Effective Energy Conservation Practices In The Information And Communication Technology Industry: A Time Series Examination of a Case from the Sri Lankan Corporate Sector,Scope for Effective Energy Conservation Practices in the Information and Communication Technology Industry: A Time Series Examination of a Case from the Sri Lankan Corporate Sector,100.0,100.0,100.0,100.0,2011.0,2011.0,,,repositories_combined,repositories_combined
70032,70046,"Factorial Analysis data for ""Assessing Drivers of Lake Gregory's Surface Water Temperature Using the General Lake Model (GLM) and Satellite Data""","Factorial Analysis data for ""Assessing Drivers of Lake Gregory's Surface Water Temperature Using the General Lake Model (GLM) and Satellite Data""",100.0,100.0,100.0,100.0,2025.0,2025.0,10.5281/zenodo.17856454,10.5281/zenodo.17856455,openalex,openalex
71732,71728,Facilitators and barriers in accessing palliative care services in low- and middle-income countries: a systematic review of qualitative studies,Facilitators and barriers in accessing palliative care services in low- and middle-income countries: a systematic review of qualitative studies,100.0,100.0,100.0,100.0,2025.0,2025.0,10.5281/zenodo.19648261,10.5281/zenodo.19648260,openalex,openalex
71243,71228,Ecological Niche Differentiation and Mixed-Schooling Behavior of Auxis thazard and Auxis rochei in the Indian Ocean,Ecological Niche Differentiation and Mixed-Schooling Behavior of Auxis thazard and Auxis rochei in the Indian Ocean,100.0,100.0,100.0,100.0,2025.0,2025.0,10.5281/zenodo.18994600,10.5281/zenodo.18994601,openalex,openalex
70759,70769,"Data supplement to ""In-stream wetland suitability mapping using Analytic Hierarchy Process and machine learning""","Data supplement to ""In-stream wetland suitability mapping using Analytic Hierarchy Process and machine learning""",100.0,100.0,100.0,100.0,2025.0,2025.0,10.5281/zenodo.18484339,10.5281/zenodo.18484341,openalex,openalex
143345,145692,"Consumption pattern of cooking oils, fats and its associated factors in households of a medical officer of health area in Colombo District, Sri Lanka","Consumption pattern of cooking oils, fats and its associated factors in households of a medical officer of health area in Colombo District, Sri Lanka",100.0,100.0,100.0,100.0,2025.0,2025.0,10.4038/jccpsl.v31i4.8853,10.4038/4ecemh62,sljol; repositories_combined,sljol; repositories_combined
69948,69869,Commemorative Medal of the Coin Conservation Club and the Culture of Thai Coin Collectors' Community,Commemorative Medal of the Coin Conservation Club and the Culture of Thai Coin Collectors' Community,100.0,100.0,100.0,100.0,2025.0,2025.0,10.5281/zenodo.17778722,10.5281/zenodo.17722970,openalex,openalex
70186,70184,Cognitive Accessibility in Wayfinding: A Mixed-Methods Audit of Sri Lankan Public Transport Terminals (Data Archive),Cognitive Accessibility in Wayfinding: A Mixed-Methods Audit of Sri Lankan Public Transport Terminals (Data Archive),100.0,100.0,100.0,100.0,2025.0,2025.0,10.5281/zenodo.18047699,10.5281/zenodo.18047700,openalex,openalex
87531,87530,Comparison on Tamil and Sinhala Phonological Structure for Second language teaching and learning process.,Comparison on Tamil and Sinhala Phonological Structure for Second language teaching and learning process.,100.0,100.0,100.0,100.0,2014.0,2014.0,,,repositories_combined,repositories_combined
95508,141229,A child with acquired haemophilia,A child with acquired haemophilia,100.0,100.0,100.0,100.0,2014.0,2014.0,,10.4038/cmj.v59i2.7068,repositories_combined,sljol; repositories_combined
150989,99336,Tuberculous meningitis in adults: a prospective study at a tertiary referral centre in Sri Lanka,Tuberculous meningitis in adults:a prospective study at a tertiary referral centre in Sri Lanka,100.0,100.0,100.0,100.0,2013.0,2013.0,10.4038/cmj.v58i1.5359,,sljol; repositories_combined,repositories_combined
41331,58178,cAMP-related second messenger pathways modulate hearing function in Aedes aegypti mosquitoes,cAMP-related second messenger pathways modulate hearing function in Aedes aegypti mosquitoes,100.0,100.0,100.0,100.0,2025.0,2025.0,10.1016/j.isci.2025.113202,10.1101/2025.03.23.644695,openalex; crossref,openalex; crossref
69681,69671,Buddhist Goddess Māricī in Early Medieval South-East Bengal: An Iconographic Study,Buddhist Goddess Māricī in Early Medieval South-East Bengal: An Iconographic Study,100.0,100.0,100.0,100.0,2025.0,2025.0,10.5281/zenodo.17618236,10.5281/zenodo.17618237,openalex,openalex
159773,60190,Brachiation robot inspired by gibbon dynamics:insights for control across irregular bar spacing and heights,Brachiation Robot Inspired by Gibbon Dynamics: Insights for Control Across Irregular Bar Spacing and Heights,100.0,100.0,100.0,100.0,2025.0,2025.0,,10.1109/mercon67903.2025.11217001,repositories_combined,openalex; crossref
69480,69491,Barriers for Seeking Psychological Help for Mental Health Disorders: A sample of Undergraduate Students in Sri Lanka,Barriers for Seeking Psychological Help for Mental Health Disorders: A sample of Undergraduate Students in Sri Lanka,100.0,100.0,100.0,100.0,2025.0,2025.0,10.5281/zenodo.17519895,10.5281/zenodo.17519896,openalex,openalex
86886,86885,Association of socio-demographic factors on attitudes of nurses toward caring for older adults at Teaching Hospital Jaffna,Association of socio-demographic factors on attitudes of nurses toward caring for older adults at Teaching Hospital Jaffna,100.0,100.0,100.0,100.0,2025.0,2025.0,,,repositories_combined,repositories_combined
13098,13102,An Investigative Study on the Recent Geopolitical Tension in the Indian Ocean Region; With Special Reference to String of Pearls & Necklace of Diamond Strategies,An Investigative Study on the Recent Geopolitical Tension in the Indian Ocean Region; With Special Reference to String of Pearls & Necklace of Diamond Strategies,100.0,100.0,100.0,100.0,2025.0,2025.0,10.2139/ssrn.5726202,10.2139/ssrn.5769342,openalex; crossref,openalex; crossref
69666,69664,Academic Qualification or Experience: Which is more prominent in recruitment in Sri Lankan Non-Governmental Organizations? HR professional's perspective,Academic Qualification or Experience: Which is more prominent in recruitment in Sri Lankan Non-Governmental Organizations? HR professional's perspective,100.0,100.0,100.0,100.0,2025.0,2025.0,10.5281/zenodo.17607607,10.5281/zenodo.17607608,openalex,openalex
60172,161427,A Sector-Specific Supplier Selection Framework for Airport City Development,A Sector-specific supplier selection framework for airport city development,100.0,100.0,100.0,100.0,2025.0,2025.0,10.1109/mercon67903.2025.11217038,,openalex; crossref,repositories_combined
11864,9159,A Case of Acute Pulmonary Edema in Scrub Typhus: A Rare Complication with Normal Cardiac and Renal Function,A case of acute pulmonary edema in scrub typhus: a rare complication with normal cardiac and renal function,100.0,100.0,100.0,100.0,2025.0,2025.0,10.21203/rs.3.rs-6910447/v1,10.1186/s12879-025-12008-9,openalex; crossref,openalex; crossref
58264,92583,SIDDHA AYURVEDIC SURGICAL MANAGEMENT OF ENDOMETRIAL POLYP – CASE STUDY,Siddha Ayurvedic Surgical Management of Endometrial Polyp – Case Study,100.0,100.0,100.0,100.0,2024.0,2024.0,10.63572/gari4302,,openalex; crossref,repositories_combined
12819,3785,Occurrence of Aflatoxin M1 in Cheese Products Commonly Available in Sri Lankan Market,Occurrence of aflatoxin M1 in cheese products commonly available in Sri Lankan market,100.0,100.0,100.0,100.0,2024.0,2024.0,10.2139/ssrn.4690177,10.1016/j.heliyon.2024.e35155,openalex; crossref,openalex; crossref
