institution_id,preferred_name,alternative_name,country_code,ror_id,parent_institution_id,institution_type,source_institution_id
LK001,University of Colombo,University of Colombo,LK,,,university,cmb
LK001,University of Colombo,cmb,LK,,,university,ucsc
LK001,University of Colombo,Colombo University,LK,,,university,
LK001,University of Colombo,"University of Colombo, Sri Lanka",LK,,,university,
LK001,University of Colombo,UOC,LK,,,university,
LK002,University of Peradeniya,University of Peradeniya,LK,,,university,pdn
LK002,University of Peradeniya,PDN,LK,,,university,
LK002,University of Peradeniya,pdn,LK,,,university,
LK002,University of Peradeniya,"University of Peradeniya, Sri Lanka",LK,,,university,
LK002,University of Peradeniya,UOP,LK,,,university,
LK003,University of Moratuwa,University of Moratuwa,LK,,,university,uom
LK003,University of Moratuwa,Univ. of Moratuwa,LK,,,university,
LK003,University of Moratuwa,"University of Moratuwa, Sri Lanka",LK,,,university,
LK003,University of Moratuwa,UOM,LK,,,university,
LK003,University of Moratuwa,uom,LK,,,university,
LK004,University of Jaffna,University of Jaffna,LK,,,university,jfn_medicine
LK004,University of Jaffna,Jaffna University,LK,,,university,jfn_research
LK004,University of Jaffna,JFN,LK,,,university,
LK004,University of Jaffna,jfn_medicine,LK,,,university,
LK004,University of Jaffna,jfn_research,LK,,,university,
LK004,University of Jaffna,UOJ,LK,,,university,
LK005,Bhiksu University of Sri Lanka,Bhiksu University of Sri Lanka,LK,,,university,busl
LK005,Bhiksu University of Sri Lanka,Bhiksu University Of Sri Lanka Anuradhapura,LK,,,university,
LK005,Bhiksu University of Sri Lanka,Buddhasravaka Bhiksu University,LK,,,university,
LK005,Bhiksu University of Sri Lanka,BUSL,LK,,,university,
LK005,Bhiksu University of Sri Lanka,busl,LK,,,university,
LK006,National Science Foundation,National Science Foundation,LK,,,research_institute,nsf
LK006,National Science Foundation,National Science Foundation of Sri Lanka,LK,,,research_institute,
LK006,National Science Foundation,National Science Foundation Sri Lanka,LK,,,research_institute,
LK006,National Science Foundation,"National Science Foundation, Sri Lanka",LK,,,research_institute,
LK006,National Science Foundation,NSF,LK,,,research_institute,
LK006,National Science Foundation,nsf,LK,,,research_institute,
